Sampling_site,Date,latitude,longitude,MIN_temp,MAX_temp,MEAN_temp,MIN_hum,MAX_hum,MEAN_hum,AB_Culex_pipiens_spp,AB_Culex_mimeticus,AB_Culex_modestus,AB_Culex_spp,AB_Culiseta_annulata,AB_Culiseta_morsitans,AB_Culiseta_spp,AB_Coquilletidia_richardii,AB_Aedes_vexans,AB_Aedes_cinereus_geminus,AB_Aedes_rossicus,AB_Aedes_caspius,AB_Aedes_cataphylla,AB_Aedes_annulipes_cantans,AB_Aedes_geniculatus,AB_Aedes_sticticus,AB_Aedes_spp,AB_Anopheles_plumbeus,AB_Anopheles_claviger,AB_Anopheles_spp,AB_unidentified,WNV_Culex_pipiens_spp,
C,09/09/2024,52.457804,13.366372,14.1,19.1,16.52,58.2,100,83.56,32,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,17,1,2,0,0,
C,10/09/2024,52.457804,13.366372,14.6,18.1,15.68333333,62.4,88.6,77.18333333,68,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,
C,11/09/2024,52.457804,13.366372,9.1,16.1,12.475,53.1,88,72.95263158,30,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,
C,12/09/2024,52.457804,13.366372,9.6,15.1,11.1,63.4,89.1,79.66,33,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,1,0,0,
S,17/06/2024,52.465746,13.365755,14.1,27.6,19.85,43.8,95.5,74.41304348,56,0,0,0,0,0,0,0,10,0,0,3,0,2,0,0,1,1,0,0,0,0,
S,18/06/2024,52.465746,13.365755,14.1,26.6,17.1625,45.6,100,94.31666667,26,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,4,0,0,0,0,0,
S,19/06/2024,52.465746,13.365755,11.1,22.6,16.45416667,49.6,100,80.34583333,21,0,0,11,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,
S,20/06/2024,52.465746,13.365755,15.5,21.1,18.06666667,51.4,79.7,66.18,68,0,3,11,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,
S,15/07/2024,52.465746,13.365755,20.1,27.1,22.93333333,38,79.8,63.85833333,184,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S,16/07/2024,52.465746,13.365755,13.6,26.1,19.32916667,53.7,100,82.74166667,83,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
S,17/07/2024,52.465746,13.365755,14.1,25.1,19.93333333,48.6,96.4,71.75,151,0,1,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
S,18/07/2024,52.465746,13.365755,15.6,25.6,19.45714286,47.4,92.4,74.89285714,131,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,
S,12/08/2024,52.465746,13.365755,16.6,27.6,21.74583333,41.2,78.6,59.4875,153,0,0,4,0,0,0,0,8,0,0,1,0,0,0,0,0,1,1,0,0,1,
S,13/08/2024,52.465746,13.365755,18.1,30.1,23.6625,38,66.8,54.45416667,196,0,5,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
S,14/08/2024,52.465746,13.365755,19.6,28.6,23.9125,43.9,97,77.89583333,126,0,6,13,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,
S,15/08/2024,52.465746,13.365755,17.1,26.6,20.46666667,62.7,100,87.48,66,0,2,5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,
S,09/09/2024,52.465746,13.365755,14.1,19.1,16.5,58.5,100,85.056,32,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S,10/09/2024,52.465746,13.365755,14.6,18.6,15.7875,60.9,90.3,77.7375,39,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
S,11/09/2024,52.465746,13.365755,9.1,16.1,12.30833333,54.7,82.7,71.01176471,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
S,12/09/2024,52.465746,13.365755,9.1,15.6,11.16666667,53.4,82.2,73.63,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
N,17/06/2024,52.461924,13.35891,13.5,26.6,19.51666667,44.6,96.2,68.75434783,129,4,0,0,0,1,0,1,4,0,0,0,0,6,3,0,4,12,0,0,0,0,
N,18/06/2024,52.461924,13.35891,14.1,25.1,16.64583333,46.6,100,76.57291667,31,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,4,3,0,0,0,0,
N,19/06/2024,52.461924,13.35891,10,22.1,15.55208333,44.2,100,71.16875,60,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,
N,20/06/2024,52.461924,13.35891,15.5,21.1,18.06666667,47.7,90.9,67.55333333,136,0,0,0,0,0,0,4,9,0,0,0,0,1,0,0,2,10,0,0,0,0,
N,15/07/2024,52.461924,13.35891,18,26.1,21.16666667,51.5,86.4,73.45,710,0,0,10,0,0,0,3,1,2,0,0,0,1,2,0,0,8,0,0,0,0,
N,16/07/2024,52.461924,13.35891,13,23.1,18.19583333,71.4,100,89.68333333,139,0,1,6,0,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,0,
N,17/07/2024,52.461924,13.35891,13.5,24.6,19.34583333,50.9,98.6,77.6375,294,0,5,5,0,0,0,1,1,1,0,0,0,0,2,0,0,5,0,0,0,0,
N,18/07/2024,52.461924,13.35891,14.5,23.6,17.87142857,62.3,93,80.90714286,647,0,1,22,1,0,0,1,4,2,0,0,0,0,4,0,1,18,0,0,1,0,
N,12/08/2024,52.461924,13.35891,15.5,29.1,21.82083333,38.5,85.3,61.80416667,182,0,5,2,1,0,0,2,25,1,0,0,0,0,1,0,1,39,2,0,0,0,
N,13/08/2024,52.461924,13.35891,17.5,31.5,24.27083333,37.7,70.1,53.075,239,0,1,1,2,0,0,3,14,1,0,1,0,0,3,0,1,27,0,0,0,1,
N,14/08/2024,52.461924,13.35891,19,28.1,23.37916667,51.2,100,83.2375,118,0,1,0,0,0,0,0,16,1,0,0,0,0,4,0,0,13,0,0,0,0,
N,15/08/2024,52.461924,13.35891,17,25.6,19.76,72.9,100,91.9,113,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,1,
N,09/09/2024,52.461924,13.35891,NA,NA,NA,NA,NA,NA,30,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,
N,10/09/2024,52.461924,13.35891,NA,NA,NA,NA,NA,NA,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,
N,11/09/2024,52.461924,13.35891,NA,NA,NA,NA,NA,NA,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
N,12/09/2024,52.461924,13.35891,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,
